ForTests,TestResults
E280F30200000000BD0BAD87,SRO327 (Niels)
E280F30200000000BD0BAF0F,OPD Bi2212 (red mark Niels)
E280F30200000000BD0BAED7,Pm2C_502 x/SRO/16X30.5 (Niels)
E200470B0F20602680640114,PELCO 6-8 Layer Graphene (U/F 2000M Sltd Cu grid | Niels)
E200470AD4F060267CC10110,BSCCO (Niels 2024/2/23)
E200470AD4E060267CC0010C,BSCCO (Niels 2024/1/24)
E200470C90A06026987C010F,MnTe 1uc Cr203-1QL BT buffer (Niels April 2024)
E200470C90906026987B010C,BST-3791 (Niels)
E200470C5B906026952B010E,Sr2RuO4 SRO214 C510Aabc op-Bi2212 (Niels)

E280F30200000000BD0BADA7,RH291 Mn3.3Sn
E280F30200000000BD0BADCF,RH290 Mn3Sn
E200470B99A06026890C0112,Mn3Sn #1-4 (Jim 2019/7/17)
E200470BD13060268C85010C EuRbFe4As4 KCo2As2 CrSiSe (Dipanjan)
E200470B99B06026890D010A,Bi (#1 2 5 5b 6 7 8 Dipanjan)
E200470C90B06026987D0113,LSMO (#1 2 3 x=0.36 0.4 0.6 Dipanjan)
E200470BD12060268C840111,RhSi (Dipanjan)
E200470C5BB06026952D0110,Ta2NiSe5 (#2 3 3abc 4 5 Dipanjan)

E20047105EB06026D55D0111,Bi2212 OP(#1~12 Xuefei) 
E200471025706026D1C9010A,Bi2212 OD50 (Xuefei)
E200471025806026D1CA0112,PRLA492 Eu5In2Sb6 NbSe2 (Xuefei)
E20047111C506026E137010E,UD/OP Bi2212 in bag (Xuefei)
E2004710E1906026DD8B0110,Bi2212 OP (#1~6 made by Genda Gu | Xuefei)
E20047105EC06026D55E010D,Bi2201 (Xuefei)
